lat,lon,site,status,depth,lab,HC,NIA,RC,RB,SD,SI,SP,SC,OT,TR,HHC,UHC,DIS,DC,RKC,FBL,PBL,M,SM,C,B,D,L,F,S,E,T,percHC,percNIA,percRB,percSD,percSI,percSC,percSP,percHHC,percUHC,percDIS,percDC,percRKC,percFBL,percPBL,percM,percSM,percC,percB,percD,percL,percF,percS,percE,percT
North,West,Manta,MPA,Shallow,MT1,21,7,3,5,3,0,0,2,0,0,11,10,6,1,1,0,2,0,12,7,0,0,0,1,0,1,0,51.2195122,17.07317073,12.19512195,7.317073171,0,4.87804878,0,52.3809524,47.6190476,28.5714286,4.7619048,4.7619048,0,9.5238095,0,57.14285714,33.33333333,0,0,0,4.761904762,0,4.761904762,0
North,West,Manta,MPA,Shallow,MT2,16,12,6,1,6,0,0,0,0,0,7,9,4,0,2,0,3,0,11,2,0,0,0,0,0,3,0,39.02439024,29.26829268,2.43902439,14.63414634,0,0,0,43.75,56.25,25,0,12.5,0,18.75,0,68.75,12.5,0,0,0,0,0,18.75,0
North,West,Manta,MPA,Shallow,MT3,20,11,5,3,1,0,1,0,0,0,5,15,8,3,3,0,1,1,14,4,0,0,0,0,0,1,0,48.7804878,26.82926829,7.317073171,2.43902439,0,0,2.43902439,25,75,40,15,15,0,5,5,70,20,0,0,0,0,0,5,0
North,West,Manta,MPA,Shallow,MT4,13,11,8,6,1,0,2,0,0,0,6,7,3,3,1,0,0,0,8,0,0,1,0,1,0,3,0,31.70731707,26.82926829,14.63414634,2.43902439,0,0,4.87804878,46.1538462,53.8461538,23.0769231,23.0769231,7.6923077,0,0,0,61.53846154,0,0,7.692307692,0,7.692307692,0,23.07692308,0
North,West,Manta,MPA,Deep,MT5,33,1,0,0,0,0,0,7,0,0,26,7,2,1,3,1,0,0,2,22,5,0,2,0,0,2,0,80.48780488,2.43902439,0,0,0,17.07317073,0,78.7878788,21.2121212,6.0606061,3.030303,9.0909091,3.030303,0,0,6.060606061,66.66666667,15.15151515,0,6.060606061,0,0,6.060606061,0
North,West,Manta,MPA,Deep,MT6,29,5,4,0,0,0,1,2,0,0,17,12,2,0,7,2,1,0,2,18,3,0,0,3,1,2,0,70.73170732,12.19512195,0,0,0,4.87804878,2.43902439,58.6206897,41.3793103,6.8965517,0,24.137931,6.8965517,3.4482759,0,6.896551724,62.06896552,10.34482759,0,0,10.34482759,3.448275862,6.896551724,0
North,West,Manta,MPA,Deep,MT7,24,2,4,1,1,0,1,8,0,0,12,12,2,0,5,1,4,0,6,11,1,0,1,0,1,3,1,58.53658537,4.87804878,2.43902439,2.43902439,0,19.51219512,2.43902439,50,50,8.3333333,0,20.8333333,4.1666667,16.6666667,0,25,45.83333333,4.166666667,0,4.166666667,0,4.166666667,12.5,4.166666667
North,West,Manta,MPA,Deep,MT8,23,6,2,2,0,0,2,5,1,0,12,11,1,2,5,1,2,1,2,12,4,2,0,0,0,1,1,56.09756098,14.63414634,4.87804878,0,0,12.19512195,4.87804878,52.173913,47.826087,4.3478261,8.6956522,21.7391304,4.3478261,8.6956522,4.347826087,8.695652174,52.17391304,17.39130435,8.695652174,0,0,0,4.347826087,4.347826087
South,West,Tabon,Non-MPA,Shallow,TB1,5,29,6,1,0,0,0,0,0,0,1,4,2,1,1,0,0,0,3,2,0,0,0,0,0,0,0,12.19512195,70.73170732,2.43902439,0,0,0,0,20,80,40,20,20,0,0,0,60,40,0,0,0,0,0,0,0
South,West,Tabon,Non-MPA,Shallow,TB2,4,22,3,8,4,0,0,0,0,0,2,2,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,9.756097561,53.65853659,19.51219512,9.756097561,0,0,0,50,50,25,0,25,0,0,0,100,0,0,0,0,0,0,0,0
South,West,Tabon,Non-MPA,Shallow,TB3,6,24,9,1,1,0,0,0,0,0,1,5,1,1,2,0,1,0,5,1,0,0,0,0,0,0,0,14.63414634,58.53658537,2.43902439,2.43902439,0,0,0,16.6666667,83.3333333,16.6666667,16.6666667,33.3333333,0,16.6666667,0,83.33333333,16.66666667,0,0,0,0,0,0,0
South,West,Tabon,Non-MPA,Shallow,TB4,4,23,2,8,3,0,0,1,0,0,1,3,2,0,0,0,1,1,1,0,1,0,0,0,0,1,0,9.756097561,56.09756098,19.51219512,7.317073171,0,2.43902439,0,25,75,50,0,0,0,25,25,25,0,25,0,0,0,0,25,0
South,West,Tabon,Non-MPA,Deep,TB5,4,11,8,11,7,0,0,0,0,0,3,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,9.756097561,26.82926829,26.82926829,17.07317073,0,0,0,75,25,0,25,0,0,0,50,50,0,0,0,0,0,0,0,0
South,West,Tabon,Non-MPA,Deep,TB6,11,8,11,3,7,0,0,1,0,0,6,5,3,0,2,0,0,0,8,3,0,0,0,0,0,0,0,26.82926829,19.51219512,7.317073171,17.07317073,0,2.43902439,0,54.5454545,45.4545455,27.2727273,0,18.1818182,0,0,0,72.72727273,27.27272727,0,0,0,0,0,0,0
South,West,Tabon,Non-MPA,Deep,TB7,12,8,14,0,3,0,0,3,1,0,9,3,2,1,0,0,0,3,6,2,0,0,0,0,0,1,0,29.26829268,19.51219512,0,7.317073171,0,7.317073171,0,75,25,16.6666667,8.3333333,0,0,0,25,50,16.66666667,0,0,0,0,0,8.333333333,0
South,West,Tabon,Non-MPA,Deep,TB8,20,5,5,6,4,0,0,0,1,0,11,9,6,1,1,0,1,2,12,5,0,0,0,0,0,1,0,48.7804878,12.19512195,14.63414634,9.756097561,0,0,0,55,45,30,5,5,0,5,10,60,25,0,0,0,0,0,5,0
South,East,Moray,MPA,Shallow,MR1,31,2,1,3,3,0,0,1,0,0,23,8,1,4,3,0,0,3,6,21,0,0,0,0,0,0,1,75.6097561,4.87804878,7.317073171,7.317073171,0,2.43902439,0,74.1935484,25.8064516,3.2258065,12.9032258,9.6774194,0,0,9.677419355,19.35483871,67.74193548,0,0,0,0,0,0,3.225806452
South,East,Moray,MPA,Shallow,MR2,31,4,1,0,1,0,4,0,0,0,19,12,2,2,8,0,0,5,2,23,0,0,0,0,0,1,0,75.6097561,9.756097561,0,2.43902439,0,0,9.756097561,61.2903226,38.7096774,6.4516129,6.4516129,25.8064516,0,0,16.12903226,6.451612903,74.19354839,0,0,0,0,0,3.225806452,0
South,East,Moray,MPA,Shallow,MR3,22,1,2,9,3,1,3,0,0,0,11,11,2,5,3,1,0,2,6,12,0,0,1,0,1,0,0,53.65853659,2.43902439,21.95121951,7.317073171,2.43902439,0,7.317073171,50,50,9.0909091,22.7272727,13.6363636,4.5454545,0,9.090909091,27.27272727,54.54545455,0,0,4.545454545,0,4.545454545,0,0
South,East,Moray,MPA,Shallow,MR4,27,3,1,4,4,0,2,0,0,0,20,7,1,2,4,0,0,1,6,18,0,0,0,1,1,0,0,65.85365854,7.317073171,9.756097561,9.756097561,0,0,4.87804878,74.0740741,25.9259259,3.7037037,7.4074074,14.8148148,0,0,3.703703704,22.22222222,66.66666667,0,0,0,3.703703704,3.703703704,0,0
South,East,Moray,MPA,Deep,MR5,14,3,5,6,8,2,1,2,0,0,10,4,0,1,3,0,0,0,0,12,2,0,0,0,0,0,0,34.14634146,7.317073171,14.63414634,19.51219512,4.87804878,4.87804878,2.43902439,71.4285714,28.5714286,0,7.1428571,21.4285714,0,0,0,0,85.71428571,14.28571429,0,0,0,0,0,0
South,East,Moray,MPA,Deep,MR6,16,1,3,11,4,2,3,1,0,0,10,6,1,1,4,0,0,2,3,10,0,0,0,0,1,0,0,39.02439024,2.43902439,26.82926829,9.756097561,4.87804878,2.43902439,7.317073171,62.5,37.5,6.25,6.25,25,0,0,12.5,18.75,62.5,0,0,0,0,6.25,0,0
South,East,Moray,MPA,Deep,MR7,31,3,1,3,1,0,1,0,1,0,10,21,0,13,8,0,0,1,0,23,5,0,1,0,1,0,0,75.6097561,7.317073171,7.317073171,2.43902439,0,0,2.43902439,32.2580645,67.7419355,0,41.9354839,25.8064516,0,0,3.225806452,0,74.19354839,16.12903226,0,3.225806452,0,3.225806452,0,0
South,East,Moray,MPA,Deep,MR8,23,8,1,4,2,1,0,0,2,0,5,18,0,12,6,0,0,0,3,15,0,0,0,0,4,1,0,56.09756098,19.51219512,9.756097561,4.87804878,2.43902439,0,0,21.7391304,78.2608696,0,52.173913,26.0869565,0,0,0,13.04347826,65.2173913,0,0,0,0,17.39130435,4.347826087,0
North,East,Bamboo,Non-MPA,Shallow,BB1,24,9,1,3,2,0,1,1,0,0,9,15,1,1,13,0,0,0,4,7,0,0,0,11,0,1,1,58.53658537,21.95121951,7.317073171,4.87804878,0,2.43902439,2.43902439,37.5,62.5,4.1666667,4.1666667,54.1666667,0,0,0,16.66666667,29.16666667,0,0,0,45.83333333,0,4.166666667,4.166666667
